구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
광진구,자양동,세모꼴소공원,소공원,서울특별시 광진구 자양동 859-1,37.53839854,127.0815488,862,1183
광진구,중곡동,해오름공원,어린이공원,서울특별시 광진구 중곡동 100-16,37.55678467,127.0921845,840,1183
광진구,중곡동,중곡공원,어린이공원,서울특별시 광진구 중곡동 232-44,37.5645362,127.079141,995,1183
광진구,중곡동,중곡역소공원(가칭),소공원,서울특별시 광진구 중곡동 30-79,37.56587772,127.08494,1276,2400
광진구,중곡동,한마음공원,어린이공원,서울특별시 광진구 중곡동 51-6,37.5595627,127.083993,897,1183
광진구,중곡동,긴고랑공원,어린이공원,서울특별시 광진구 중곡동 68-19,37.55888021,127.0910186,633,766
광진구,중곡동,배나무터공원,어린이공원,서울특별시 광진구 중곡동 695,37.56834108,127.0802695,971,1183
광진구,화양동,화양동정자마당소공원,소공원,서울특별시 광진구 화양동 110-34,37.54652182,127.0718116,2382,2400
광진구,화양동,한아름공원,어린이공원,서울특별시 광진구 화양동 12-55,37.5443368,127.0704685,936,1183
광진구,화양동,가중나무공원,어린이공원,서울특별시 광진구 화양동 32-1,37.54651869,127.0677034,971,1183
광진구,화양동,햇님공원,어린이공원,서울특별시 광진구 화양동 45-3,37.5426933,127.0670227,1002,1183
광진구,화양동,화양공원,어린이공원,서울특별시 광진구 화양동 8-36,37.54160778,127.0696005,996,1183
구로구,개봉동,소막골어린이공원,어린이공원,서울특별시 구로구 개봉동 271-17,37.48853123,126.852386,516,766
구로구,개봉동,절골어린이공원,어린이공원,서울특별시 구로구 개봉동 312-25,37.482821,126.851652,369,766
구로구,개봉동,개명소공원,소공원,서울특별시 구로구 개봉동 314-14,37.48292941,126.8481689,5415,9000000
구로구,개봉동,개웅어린이공원,어린이공원,서울특별시 구로구 개봉동 340-8,37.489928,126.852866,1797,2400
구로구,개봉동,개웅소공원,소공원,서울특별시 구로구 개봉동 345-14,37.48810124,126.854735,657,766
구로구,개봉동,온수근린공원,근린공원,서울특별시 구로구 개봉동 45-2,37.50199617,126.8397231,1097565,9000000
구로구,개봉동,가린열어린이공원,어린이공원,서울특별시 구로구 개봉동 458-4,37.500611,126.8542042,333,766
구로구,개봉동,개봉소공원,소공원,서울특별시 구로구 개봉동 492-1,37.49958755,126.849609,3023,9000000
구로구,개봉동,개웅산근린공원,근린공원,서울특별시 구로구 개봉동 산53-3,37.48690364,126.8471261,411972,9000000
구로구,고척동,능골어린이공원,어린이공원,서울특별시 구로구 고척동 220-3,37.506852,126.854254,357,766
구로구,고척동,골목어린이공원,어린이공원,서울특별시 구로구 고척동 224-3,37.507017,126.853545,266,766
구로구,고척동,도레미어린이공원,어린이공원,서울특별시 구로구 고척동 331-1,37.508017,126.852322,326,766
구로구,고척동,덕의근린공원,근린공원,서울특별시 구로구 고척동 339-4,37.50702571,126.8558381,5565,9000000
구로구,고척동,무궁화소공원,소공원,서울특별시 구로구 고척동 341-2,37.50495918,126.8650559,1166,1183
구로구,고척동,현화소공원,소공원,서울특별시 구로구 고척동 342-1,37.50432419,126.8600969,720,766
구로구,고척동,오금어린이공원,어린이공원,서울특별시 구로구 고척동 57-22,37.505038,126.866221,348,766
구로구,고척동,계남근린공원,근린공원,서울특별시 구로구 고척동 산8,37.509285,126.850122,158814,9000000
구로구,고척동,고척근린공원,근린공원,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,108120,9000000
구로구,구로동,구로근린공원,근린공원,서울특별시 구로구 구로동 102,37.49748278,126.8896027,7901,9000000
구로구,구로동,구로동(다울)소공원,소공원,서울특별시 구로구 구로동 1286-1,37.49253575,126.888217,243,766
구로구,구로동,구로리어린이공원,어린이공원,서울특별시 구로구 구로동 139-82,37.4904165,126.891578,7782,9000000
구로구,구로동,테크노근린공원,근린공원,서울특별시 구로구 구로동 3-33,37.50811753,126.8908707,10482,9000000
구로구,구로동,솔길어린이공원,어린이공원,서울특별시 구로구 구로동 391-1,37.48918401,126.8804792,1999,2400
구로구,구로동,삼각어린이공원,어린이공원,서울특별시 구로구 구로동 47,37.50135772,126.8920128,2634,9000000
구로구,구로동,화원어린이공원,어린이공원,서울특별시 구로구 구로동 478-1,37.49791653,126.8804405,4544,9000000
구로구,구로동,애경어린이공원,어린이공원,서울특별시 구로구 구로동 501-22,37.500156,126.8846598,2996,9000000
구로구,구로동,희망어린이공원,어린이공원,서울특별시 구로구 구로동 745-74,37.48703809,126.886243,911,1183
구로구,구로동,꿈마을어린이공원,어린이공원,서울특별시 구로구 구로동 777-1,37.487173,126.8901545,1609,2400
구로구,구로동,환경어린이공원,어린이공원,서울특별시 구로구 구로동 797-1,37.48502191,126.888408,528,766
구로구,궁동,삭새어린이공원,어린이공원,서울특별시 구로구 궁동 237-6,37.496337,126.825012,2077,2400
구로구,궁동,수른어린이공원,어린이공원,서울특별시 구로구 궁동 279-6,37.49794413,126.829601,332,766
구로구,신도림동,미래사랑어린이공원,어린이공원,서울특별시 구로구 신도림동 314-2,37.50984705,126.8890762,5870,9000000
구로구,신도림동,신도림어린이공원,어린이공원,서울특별시 구로구 신도림동 646-1,37.51070916,126.8883753,2292,2400
구로구,신도림동,대성디큐브시티문화공원,문화공원,서울특별시 구로구 신도림동 692-1,37.50923794,126.8902377,3322,9000000
구로구,오류동,오류동역문화공원,문화공원,서울특별시 구로구 오류동 299-29,37.49463217,126.8455221,7510,9000000
구로구,오류동,오류동 소공원,소공원,서울특별시 구로구 오류동 332-36,37.4934436,126.842953,895,1183
구로구,오류동,오동나무어린이공원,어린이공원,서울특별시 구로구 오류동 353-4,37.485594,126.838383,1815,2400
구로구,온수동,와룡소공원,소공원,서울특별시 구로구 온수동 155-3,37.4979921,126.8214922,2500,9000000
