구,법정동,상세업무구분명,사업장명,위도,경도
구로구,개봉동,펫택시,pet 142거6497,37.49338522,126.8483285
서초구,반포동,펫택시,PET 151모 7205,37.50293141,126.9963564
서초구,서초동,펫택시,PET 157마 5124,37.48992458,127.0195993
구로구,구로동,펫택시,pet 15보0776,37.48164798,126.8960821
마포구,성산동,펫택시,pet 17서 7347,37.56934394,126.9053534
강서구,공항동,펫택시,pet 253루3398,37.56243107,126.8106158
구로구,항동,펫택시,pet 276저6025,37.47949415,126.8231637
마포구,염리동,펫택시,pet 299두 2951,37.55019731,126.945595
마포구,신수동,펫택시,pet 316소 8965,37.54485513,126.9342658
송파구,삼전동,펫택시,pet 351마4905,37.50489099,127.0895979
서초구,반포동,펫택시,PET 36머2480,37.49480911,126.9963298
동대문구,장안동,펫택시,pet 42구 6951,37.57346478,127.0685859
강서구,방화동,펫택시,pet 43노6558,37.57487392,126.8046574
송파구,가락동,펫택시,pet 63버3658,37.49417137,127.1329205
서초구,반포동,펫택시,PET 67라 0112,37.50633056,127.0177057
송파구,문정동,펫택시,pet 69모0399,37.49059773,127.1325565
동대문구,장안동,펫택시,PET me up(최윤희),37.56449315,127.0644324
구로구,고척동,펫택시,PET TAXI(TP),37.50498084,126.860227
동대문구,제기동,펫택시,pet 저 3258,37.58326029,127.0334295
강남구,청담동,펫호텔,Pet.J,37.52472992,127.040888
마포구,중동,펫택시,pet01오5003,37.56993071,126.9068691
영등포구,양평동,펫택시,pet02구5395,37.53825925,126.8945571
양천구,목동,펫택시,pet02나6234,37.54448877,126.8717647
양천구,목동,펫택시,pet03더8839,37.53747644,126.8730507
성동구,금호동,펫택시,pet03모0118,37.55262239,127.0160474
송파구,송파동,펫택시,pet04거0414,37.50956994,127.1081306
강북구,미아동,펫택시,pet04나3710,37.62401409,127.010277
도봉구,방학동,펫택시,pet04머3244,37.66586479,127.0356557
금천구,시흥동,펫택시,pet05머0777,37.45586507,126.9048598
성북구,길음동,펫택시,pet05서0587,37.60977637,127.0159388
강서구,방화동,펫택시,pet06거1583,37.57121942,126.8058606
강남구,역삼동,펫택시,pet07구7110,37.49621888,127.0339168
강북구,번동,펫택시,pet07러7831,37.63902709,127.0305056
은평구,응암동,펫택시,pet08라1096,37.60099477,126.929163
중랑구,묵동,펫택시,pet108도9423,37.6141897,127.074161
은평구,진관동,펫택시,pet10루9446,37.64595368,126.9258218
서초구,방배동,펫택시,PET10무 9167,37.49241149,126.9811471
은평구,갈현동,펫택시,pet115서1942,37.61816643,126.9094085
강동구,성내동,펫택시,pet116주7521,37.5312388,127.1305702
강동구,고덕동,펫택시,pet11누4743,37.55894942,127.1441925
강북구,미아동,펫택시,pet123우4709,37.61541137,127.0314128
강북구,번동,펫택시,pet123우4769,37.64091455,127.028281
서대문구,연희동,펫택시,pet12가8636,37.57792955,126.9318655
강서구,화곡동,펫택시,pet137나3750,37.53644692,126.8449432
은평구,갈현동,펫택시,pet138어4001,37.61738863,126.9084858
광진구,자양동,펫택시,pet169소2689,37.53565762,127.0671485
은평구,역촌동,펫택시,pet16고9448,37.60362273,126.9069347
강남구,삼성동,펫택시,pet16우1430,37.5156941,127.0483786
용산구,청파동,펫택시,pet175마7334,37.54426177,126.9649117
강서구,화곡동,펫택시,pet17노5221,37.54085889,126.8410346
성동구,송정동,펫택시,pet180거9064,37.55457127,127.0659027
금천구,시흥동,펫택시,pet184누2620,37.45157185,126.9160117
송파구,문정동,펫택시,pet189로1254,37.48009521,127.1167934
금천구,시흥동,펫택시,pet196무8881,37.44352525,126.9024685
노원구,상계동,펫택시,pet19도0831,37.65189271,127.0551082
서대문구,북가좌,펫택시,pet20고5787,37.57264893,126.9076607
강동구,천호동,펫택시,pet21어9209,37.54558412,127.1193106
중랑구,면목동,펫택시,pet22머2018,37.57882001,127.0878027
강동구,명일동,펫택시,pet234마2426,37.54901727,127.1427765
영등포구,당산동,펫택시,pet23구6020,37.52796412,126.896316
노원구,공릉동,펫택시,pet241가2495,37.62365381,127.0738809
양천구,신월동,펫택시,pet244다7383,37.52783482,126.8347075
양천구,신정동,펫택시,pet259너6891,37.52295976,126.8588324
강동구,강일동,펫택시,pet259주9886,37.56870219,127.1777482
관악구,봉천동,펫택시,pet25라2385,37.48708721,126.9383233
광진구,중곡동,펫택시,pet25소6621,37.56639306,127.0809894
관악구,신림동,펫택시,pet263부1883,37.48317096,126.9137922
강북구,미아동,펫택시,pet26오6536,37.62467633,127.0162447
서초구,서초동,펫택시,PET275두 7043,37.48586547,127.0145374
송파구,오금동,펫택시,pet27라2649,37.50065181,127.138753
도봉구,창동,펫택시,pet27저0798,37.64074096,127.038954
도봉구,도봉동,펫택시,pet282마4922,37.68187459,127.0408947
서초구,서초동,펫택시,PET292주 1770,37.48405385,127.0144478
양천구,신월동,펫택시,pet292주3335,37.51823385,126.8365822
강동구,천호동,펫택시,pet293저2744,37.54684699,127.1355601
영등포구,대림동,펫택시,pet297구9416,37.50214186,126.8920084
송파구,문정동,펫택시,pet303조1822,37.48911483,127.1199874
광진구,화양동,펫택시,pet308도8799,37.54758641,127.0670188
강서구,내발산,펫택시,pet309노2669,37.55030745,126.8303601
양천구,신월동,펫택시,pet30라6134,37.51552054,126.8342937
은평구,갈현동,펫택시,pet30라9617,37.62275075,126.9143887
노원구,하계동,펫택시,pet313거3148,37.63669915,127.0747461
강서구,화곡동,펫택시,pet314무2941,37.54299629,126.8326754
강남구,대치동,펫택시,Pet31더5835,37.49741795,127.0624371
양천구,신정동,펫택시,pet31우4645,37.52295976,126.8588324
서대문구,북가좌,펫택시,pet330소7330,37.58073247,126.9121886
성북구,길음동,펫택시,pet336가5783,37.61037104,127.0213839
마포구,당인동,펫택시,pet337루6636,37.54553533,126.9161
강서구,가양동,펫택시,pet33조0386,37.55872123,126.8606428
영등포구,도림동,펫택시,pet34누5484,37.51148734,126.8976416
강남구,개포동,펫택시,pet356무7818,37.47821261,127.0617439
노원구,상계동,펫택시,pet357모3834,37.66782939,127.0787282
강서구,화곡동,펫택시,pet362더3913,37.55562001,126.8453475
성동구,송정동,펫택시,pet372도5584,37.54926346,127.0617857
서초구,방배동,펫택시,PET38마 0271,37.4792988,126.9838714
은평구,증산동,펫택시,pet397조1853,37.58296779,126.9033612
양천구,신월동,펫택시,pet398너6013,37.5356749,126.8223198
도봉구,창동,펫택시,pet39라9273,37.64428016,127.044939
성북구,장위동,펫택시,pet45로0199,37.61614532,127.0496617
강서구,등촌동,펫택시,pet45오0991,37.55579086,126.858379
강북구,번동,펫택시,pet47구4386,37.6392789,127.0282536
강동구,천호동,펫택시,pet47수5859,37.54774927,127.1265772
강북구,수유동,펫택시,pet47주4979,37.64331689,127.0104136
강동구,천호동,펫택시,pet51주3627,37.5495492,127.1249618
성북구,종암동,펫택시,pet53너5866,37.5992448,127.0281601
서초구,반포동,펫택시,PET53마 1734,37.49700659,126.9969671
은평구,녹번동,펫택시,pet53수0985,37.60565638,126.9233456
강남구,역삼동,펫택시,pet60누3202,37.49941952,127.0367506
광진구,중곡동,펫택시,pet63마5476,37.55914022,127.0909745
은평구,불광동,펫택시,pet65소7502,37.61492897,126.9254195
광진구,중곡동,펫택시,pet79구4934,37.55460731,127.0884253
양천구,신정동,애견미용,POSH(포쉬),37.52501122,126.851979
마포구,망원동,애견미용,Seulow pet grooming shop,37.5575706,126.9008583
성동구,행당동,애견미용,Show Dog,37.55999638,127.0299598
강서구,방화동,동물병원,SKY동물병원,37.57319777,126.8089315
중랑구,묵동,애견미용,STAR DOG,37.61666427,127.0783932
도봉구,창동,펫택시,TAXI BENEPET(택시벤이펫),37.64401319,127.0314454
강남구,논현동,펫호텔,Team MK(전설의 강아지),37.51202868,127.038281
중랑구,면목동,애견미용,the 개 #,37.58785062,127.0850624
송파구,삼전동,펫호텔,THE 발라당호텔,37.50564785,127.0874254
은평구,응암동,애견미용,The 이뿌개,37.60022442,126.9217839
구로구,오류동,애견미용,TOPnTOP Grooming(탑앤탑그루밍),37.4915031,126.8368353
광진구,중곡동,애견미용,toutou miel,37.56189982,127.0797918
성북구,동소문,동물병원,VIP 동물의료센터,37.59230996,127.0105377
동대문구,장안동,동물병원,VIP동물의료센터,37.57196471,127.0706651
서초구,방배동,동물병원,VIP동물의료센터 서초동작점,37.47967408,126.9792662
강남구,청담동,동물병원,VIP동물의료센터 청담점,37.51944081,127.04614
강남구,청담동,동물병원,VIP동물한방재활의학센터,37.51944081,127.04614
서초구,방배동,애견미용,VIP펫,37.47967408,126.9792662
도봉구,창동,펫호텔,waldog(왈독),37.65687102,127.0371445
강서구,방화동,펫호텔,Wendy’s Wonderland(웬디네 원더랜드),37.56471526,126.8068085
마포구,서교동,애견미용,W앤다솔,37.55338018,126.9093465
성북구,정릉동,동물병원,ZOO동물병원,37.60201062,127.0166528
강동구,암사동,애견미용,가나 동물병원,37.55492015,127.1338306
도봉구,방학동,동물병원,가나동물병원,37.66271403,127.0312086
양천구,목동,동물병원,가나종합동물병원,37.5359862,126.8751517
은평구,증산동,동물병원,가든펫동물병원,37.58693714,126.9056738
송파구,방이동,동물병원,가락종합동물병원,37.50633479,127.1181489
강동구,성내동,동물병원,가람동물병원,37.52903366,127.1213113
강남구,신사동,동물병원,가로수동물병원,37.52436145,127.0205621
강서구,가양동,동물병원,가양쿨펫동물병원,37.56426916,126.8472152
강동구,고덕동,동물병원,가온동물병원,37.56066519,127.1675472
서대문구,북가좌,동물병원,가재울봉쥬르동물병원,37.57718181,126.9080086
서대문구,북가좌,동물병원,가좌동물병원,37.58003109,126.9082584
서대문구,북가좌,애견미용,가좌종합동물병원,37.58003109,126.9082584
강남구,수서동,펫택시,간다하개,37.48916119,127.0980559
마포구,대흥동,애견미용,감성그루밍,37.54797386,126.9401406
중랑구,신내동,애견미용,감성있개,37.60781941,127.095471
강남구,논현동,동물병원,강남25동물병원,37.51559685,127.032126
강남구,역삼동,애견미용,강남강아지,37.4993473,127.0399879
강남구,도곡동,동물병원,강남다온동물병원,37.49133392,127.035587
강남구,논현동,동물병원,강남동물병원,37.50777995,127.0315741
서초구,서초동,동물병원,강남서초 동물병원,37.49028154,127.0174807
서초구,서초동,애견미용,강남서초동물병원,37.49028154,127.0174807
강서구,화곡동,애견미용,강남애견미용샵,37.53087717,126.8470766
강남구,삼성동,동물병원,강남예치과동물병원,37.51513789,127.0397625
강동구,성내동,동물병원,강동24시 SKY 동물의료센터,37.53437052,127.1330942
강동구,성내동,애견미용,강동24시SKY 동물병원,37.53437052,127.1330942
강동구,길동,동물병원,강동동물병원,37.54237802,127.1390428
강북구,수유동,애견미용,강미경 애견 미용실,37.6338902,127.0133411
성북구,길음동,동물병원,강북 24시 N 동물의료센터,37.60583984,127.0214871
강북구,번동,동물병원,강북동물병원,37.62881255,127.0370089
도봉구,창동,동물병원,강북우리동물의료센터,37.65687102,127.0371445
중랑구,중화동,애견미용,강사모펫,37.59504204,127.0765327
강서구,등촌동,동물병원,강서YD동물의료센터,37.55696596,126.8492857
강서구,화곡동,동물병원,강서동물병원,37.5322193,126.8366519
성동구,성수동,펫호텔,강아지,37.53857805,127.0545963
중구,신당동,애견미용,강아지 마법사 골드맘,37.5618769,127.014546
중랑구,묵동,애견미용,강아지 미용실,37.61506791,127.0758293
마포구,염리동,애견미용,강아지 미용실 왕왕,37.54891201,126.9463985
성동구,송정동,애견미용,강아지song,37.549263,127.0634046
구로구,개봉동,애견미용,강아지군대가는날,37.49864828,126.8517343
광진구,구의동,애견미용,강아지놀이터,37.53934643,127.0903002
종로구,동숭동,펫호텔,강아지대학로,37.5801213,127.0008145
강남구,논현동,펫카페,강아지똥,37.5083319,127.0243292
성북구,보문동,애견미용,강아지를 부탁해,37.58142509,127.0173344
중랑구,망우동,애견미용,강아지미용실502,37.59423909,127.0981558
